training loss_epoch,epoch,step,training loss_step
28848.2578125,0,0,
25662.0703125,1,1,
22529.69140625,2,2,
19344.61328125,3,3,
17947.37890625,4,4,
16655.029296875,5,5,
15796.0205078125,6,6,
15201.0859375,7,7,
14727.1982421875,8,8,
14478.791015625,9,9,
14396.3837890625,10,10,
14353.1220703125,11,11,
14340.5849609375,12,12,
14274.9921875,13,13,
14249.3681640625,14,14,
14223.529296875,15,15,
14215.5498046875,16,16,
14188.833984375,17,17,
14188.583984375,18,18,
14133.4091796875,19,19,
14082.7763671875,20,20,
13998.8505859375,21,21,
13917.4619140625,22,22,
13837.7412109375,23,23,
13762.5263671875,24,24,
13699.775390625,25,25,
13619.5654296875,26,26,
13534.0146484375,27,27,
13477.060546875,28,28,
13385.0419921875,29,29,
13294.126953125,30,30,
13256.26171875,31,31,
13190.00390625,32,32,
13142.2216796875,33,33,
13074.6298828125,34,34,
13019.791015625,35,35,
12918.2666015625,36,36,
12896.04296875,37,37,
12837.30078125,38,38,
12807.3525390625,39,39,
12777.2685546875,40,40,
12703.453125,41,41,
12637.2900390625,42,42,
12619.7978515625,43,43,
12554.37890625,44,44,
12438.5234375,45,45,
12409.4619140625,46,46,
12303.7080078125,47,47,
12269.2138671875,48,48,
,49,49,12155.8984375
12155.8984375,49,49,
12074.2275390625,50,50,
11951.8642578125,51,51,
11825.896484375,52,52,
11762.375,53,53,
11564.400390625,54,54,
11419.1123046875,55,55,
11236.384765625,56,56,
11109.22265625,57,57,
10879.8662109375,58,58,
10662.130859375,59,59,
10354.208984375,60,60,
10043.4345703125,61,61,
9740.5361328125,62,62,
9488.6328125,63,63,
9226.9833984375,64,64,
8954.0654296875,65,65,
8733.12109375,66,66,
8552.3310546875,67,67,
8444.36328125,68,68,
8295.7978515625,69,69,
8132.18603515625,70,70,
7923.5478515625,71,71,
7741.33642578125,72,72,
7559.896484375,73,73,
7473.73388671875,74,74,
7424.134765625,75,75,
7300.900390625,76,76,
7148.46728515625,77,77,
7006.15283203125,78,78,
7067.22265625,79,79,
6913.84912109375,80,80,
6909.95263671875,81,81,
6864.19091796875,82,82,
6824.74755859375,83,83,
6768.49609375,84,84,
6622.3603515625,85,85,
6653.39990234375,86,86,
6579.408203125,87,87,
6609.37109375,88,88,
6583.123046875,89,89,
6556.25244140625,90,90,
6509.89501953125,91,91,
6441.0205078125,92,92,
6447.572265625,93,93,
6368.40673828125,94,94,
6399.93359375,95,95,
6331.3251953125,96,96,
6344.494140625,97,97,
6266.88818359375,98,98,
,99,99,6217.29052734375
6217.29052734375,99,99,
6254.791015625,100,100,
6194.63671875,101,101,
6162.21533203125,102,102,
6223.3515625,103,103,
6225.888671875,104,104,
6164.4970703125,105,105,
6153.52392578125,106,106,
6074.39501953125,107,107,
6083.26416015625,108,108,
6046.0576171875,109,109,
6084.99072265625,110,110,
6038.96484375,111,111,
6004.89697265625,112,112,
6031.61572265625,113,113,
5994.89697265625,114,114,
5978.61083984375,115,115,
5978.84423828125,116,116,
5938.630859375,117,117,
5932.3994140625,118,118,
5871.8876953125,119,119,
5858.45947265625,120,120,
5899.86181640625,121,121,
5863.26220703125,122,122,
5851.349609375,123,123,
5771.8486328125,124,124,
5792.7265625,125,125,
5749.08251953125,126,126,
5791.6328125,127,127,
5761.8623046875,128,128,
5714.6962890625,129,129,
5725.80126953125,130,130,
5640.59228515625,131,131,
5676.5634765625,132,132,
5649.3876953125,133,133,
5708.2373046875,134,134,
