training loss_epoch,epoch,step,training loss_step
39680.9140625,0,0,
35547.328125,1,1,
29846.5703125,2,2,
28100.5859375,3,3,
23729.8671875,4,4,
22432.8671875,5,5,
20643.04296875,6,6,
18634.744140625,7,7,
17548.5234375,8,8,
15790.6640625,9,9,
15250.052734375,10,10,
14923.9462890625,11,11,
14491.3076171875,12,12,
14461.1328125,13,13,
14274.17578125,14,14,
14111.8505859375,15,15,
14049.5400390625,16,16,
14007.2490234375,17,17,
13999.70703125,18,18,
14020.794921875,19,19,
14032.6748046875,20,20,
14027.09765625,21,21,
13976.37109375,22,22,
13905.0947265625,23,23,
13858.8310546875,24,24,
13841.49609375,25,25,
13776.3291015625,26,26,
13720.0126953125,27,27,
13656.806640625,28,28,
13612.783203125,29,29,
13561.908203125,30,30,
13507.4345703125,31,31,
13462.560546875,32,32,
13439.9677734375,33,33,
13364.0302734375,34,34,
13303.7373046875,35,35,
13249.2333984375,36,36,
13203.8427734375,37,37,
13161.8876953125,38,38,
13114.2421875,39,39,
13091.912109375,40,40,
13006.6328125,41,41,
12990.66796875,42,42,
12965.8818359375,43,43,
12901.46484375,44,44,
12848.177734375,45,45,
12810.4765625,46,46,
12801.5751953125,47,47,
12734.21484375,48,48,
,49,49,12714.2783203125
12714.2783203125,49,49,
12745.5322265625,50,50,
12690.0478515625,51,51,
12565.3212890625,52,52,
12574.01171875,53,53,
12535.9296875,54,54,
12506.7958984375,55,55,
12482.736328125,56,56,
12418.4677734375,57,57,
12387.755859375,58,58,
12335.689453125,59,59,
12270.1025390625,60,60,
12289.1953125,61,61,
12180.2998046875,62,62,
12147.33203125,63,63,
12083.9326171875,64,64,
12060.6953125,65,65,
11964.2578125,66,66,
11918.9541015625,67,67,
11812.443359375,68,68,
11781.3203125,69,69,
11651.56640625,70,70,
11543.3583984375,71,71,
11467.3583984375,72,72,
11361.3095703125,73,73,
11325.4462890625,74,74,
11151.708984375,75,75,
10974.3251953125,76,76,
10828.5986328125,77,77,
10649.390625,78,78,
10444.5810546875,79,79,
10245.7177734375,80,80,
10089.400390625,81,81,
9863.2578125,82,82,
9671.6943359375,83,83,
9429.49609375,84,84,
9201.8388671875,85,85,
9020.0068359375,86,86,
8898.810546875,87,87,
8767.3310546875,88,88,
8601.9404296875,89,89,
8542.2578125,90,90,
8418.5244140625,91,91,
8336.2578125,92,92,
8245.9140625,93,93,
8077.03173828125,94,94,
7957.34716796875,95,95,
7889.14453125,96,96,
7817.99169921875,97,97,
7697.654296875,98,98,
,99,99,7573.9775390625
7573.9775390625,99,99,
7576.0361328125,100,100,
7471.9453125,101,101,
7395.84375,102,102,
7297.9765625,103,103,
7327.64306640625,104,104,
7251.79150390625,105,105,
7176.76904296875,106,106,
7103.15380859375,107,107,
7060.47509765625,108,108,
7055.90869140625,109,109,
7001.80224609375,110,110,
6899.61962890625,111,111,
6824.90380859375,112,112,
6826.2802734375,113,113,
6819.9921875,114,114,
6782.833984375,115,115,
6717.880859375,116,116,
6723.494140625,117,117,
6682.42041015625,118,118,
6689.16015625,119,119,
6706.6865234375,120,120,
6682.2744140625,121,121,
6623.5224609375,122,122,
6618.44970703125,123,123,
6571.0107421875,124,124,
6611.9013671875,125,125,
6596.15771484375,126,126,
6548.57568359375,127,127,
6503.12109375,128,128,
6525.6650390625,129,129,
6503.34130859375,130,130,
6431.6943359375,131,131,
6452.81982421875,132,132,
6476.24169921875,133,133,
6393.70556640625,134,134,
6385.3388671875,135,135,
6428.8369140625,136,136,
6373.60888671875,137,137,
6343.74365234375,138,138,
6345.96923828125,139,139,
6317.85986328125,140,140,
6364.32470703125,141,141,
6303.3173828125,142,142,
6302.744140625,143,143,
6283.404296875,144,144,
6264.66015625,145,145,
6269.759765625,146,146,
6198.4140625,147,147,
6268.294921875,148,148,
,149,149,6173.47509765625
6173.47509765625,149,149,
6246.1943359375,150,150,
6226.25634765625,151,151,
6198.6396484375,152,152,
6220.65771484375,153,153,
6173.11181640625,154,154,
6162.0361328125,155,155,
6160.28564453125,156,156,
6087.8974609375,157,157,
6144.89697265625,158,158,
6081.0654296875,159,159,
6074.51513671875,160,160,
6053.8681640625,161,161,
6035.7724609375,162,162,
6042.9775390625,163,163,
6057.236328125,164,164,
6008.15185546875,165,165,
6006.78955078125,166,166,
5999.05517578125,167,167,
5978.0458984375,168,168,
5990.34326171875,169,169,
5963.89111328125,170,170,
5940.19091796875,171,171,
5965.44677734375,172,172,
5968.30810546875,173,173,
5953.10400390625,174,174,
5953.69970703125,175,175,
5935.892578125,176,176,
5882.666015625,177,177,
5902.5673828125,178,178,
5891.7138671875,179,179,
5840.45947265625,180,180,
5855.82568359375,181,181,
5878.3291015625,182,182,
5926.326171875,183,183,
5808.7421875,184,184,
5838.17236328125,185,185,
5843.435546875,186,186,
5853.21435546875,187,187,
5845.740234375,188,188,
5831.03369140625,189,189,
5729.40576171875,190,190,
5774.58544921875,191,191,
5801.57763671875,192,192,
5788.30810546875,193,193,
5786.3310546875,194,194,
5718.30712890625,195,195,
5720.669921875,196,196,
5745.7841796875,197,197,
5713.49560546875,198,198,
,199,199,5641.84912109375
5641.84912109375,199,199,
5729.25927734375,200,200,
5736.7861328125,201,201,
5721.12890625,202,202,
5678.6708984375,203,203,
5635.59814453125,204,204,
5627.19970703125,205,205,
5642.595703125,206,206,
5665.32421875,207,207,
5645.591796875,208,208,
5599.34912109375,209,209,
5625.8505859375,210,210,
5671.201171875,211,211,
5622.7724609375,212,212,
5580.91015625,213,213,
5627.95068359375,214,214,
5570.07666015625,215,215,
5532.76806640625,216,216,
5518.28955078125,217,217,
5583.04248046875,218,218,
5566.69384765625,219,219,
5580.056640625,220,220,
5563.6650390625,221,221,
5489.07861328125,222,222,
5590.189453125,223,223,
5533.91162109375,224,224,
5505.1279296875,225,225,
5595.5498046875,226,226,
5563.81201171875,227,227,
5494.16357421875,228,228,
5509.19287109375,229,229,
5511.2578125,230,230,
5439.52490234375,231,231,
5474.71875,232,232,
5635.70654296875,233,233,
5524.357421875,234,234,
5511.83544921875,235,235,
5502.85107421875,236,236,
5468.931640625,237,237,
5520.4912109375,238,238,
5481.40771484375,239,239,
5457.8134765625,240,240,
5476.61376953125,241,241,
5419.80322265625,242,242,
5496.82568359375,243,243,
5465.451171875,244,244,
5419.6435546875,245,245,
5407.93359375,246,246,
5450.33837890625,247,247,
5478.26171875,248,248,
,249,249,5417.208984375
5417.208984375,249,249,
5482.7509765625,250,250,
5411.94921875,251,251,
5456.48388671875,252,252,
5424.1044921875,253,253,
5549.6591796875,254,254,
5460.73193359375,255,255,
5428.849609375,256,256,
5417.23876953125,257,257,
5413.51025390625,258,258,
5428.3232421875,259,259,
5411.62451171875,260,260,
5402.294921875,261,261,
5420.125,262,262,
5414.96533203125,263,263,
5460.88330078125,264,264,
5404.41015625,265,265,
5399.82666015625,266,266,
5445.1474609375,267,267,
5360.4091796875,268,268,
5432.96240234375,269,269,
5393.50341796875,270,270,
5373.916015625,271,271,
5391.04296875,272,272,
5415.91015625,273,273,
5421.44873046875,274,274,
5396.6318359375,275,275,
5423.6845703125,276,276,
5368.0361328125,277,277,
5406.29638671875,278,278,
5373.75,279,279,
5321.89892578125,280,280,
5373.01220703125,281,281,
5342.4853515625,282,282,
5352.0791015625,283,283,
5337.69921875,284,284,
5362.64501953125,285,285,
5380.8642578125,286,286,
5369.3203125,287,287,
5370.92333984375,288,288,
5439.27734375,289,289,
5377.51611328125,290,290,
5329.9765625,291,291,
5351.83642578125,292,292,
5331.36572265625,293,293,
