training loss_epoch,epoch,step,training loss_step
29309.7734375,0,0,
25324.568359375,1,1,
23926.20703125,2,2,
21517.58203125,3,3,
18721.25390625,4,4,
17237.681640625,5,5,
16512.724609375,6,6,
14981.341796875,7,7,
14401.9814453125,8,8,
13810.4365234375,9,9,
13515.19921875,10,10,
13330.6669921875,11,11,
13307.7060546875,12,12,
13273.837890625,13,13,
13279.564453125,14,14,
13168.48046875,15,15,
13189.279296875,16,16,
13179.5009765625,17,17,
13198.60546875,18,18,
13190.474609375,19,19,
13185.556640625,20,20,
13134.2412109375,21,21,
13100.744140625,22,22,
13069.537109375,23,23,
13023.0537109375,24,24,
12964.634765625,25,25,
12937.021484375,26,26,
12905.3466796875,27,27,
12854.037109375,28,28,
12813.8876953125,29,29,
12753.57421875,30,30,
12699.263671875,31,31,
12644.9072265625,32,32,
12609.4013671875,33,33,
12568.142578125,34,34,
12507.6015625,35,35,
12467.158203125,36,36,
12449.294921875,37,37,
12404.7890625,38,38,
12408.2822265625,39,39,
12363.8095703125,40,40,
12324.509765625,41,41,
12318.2685546875,42,42,
12257.7421875,43,43,
12263.0498046875,44,44,
12267.7509765625,45,45,
12206.876953125,46,46,
12212.1591796875,47,47,
12193.888671875,48,48,
,49,49,12203.6435546875
12203.6435546875,49,49,
12188.7373046875,50,50,
12170.1064453125,51,51,
12109.43359375,52,52,
12105.9560546875,53,53,
12068.4169921875,54,54,
12075.8876953125,55,55,
12021.2177734375,56,56,
12035.4765625,57,57,
12003.9208984375,58,58,
11985.33984375,59,59,
11978.6435546875,60,60,
11955.021484375,61,61,
11941.625,62,62,
11938.0947265625,63,63,
11895.1025390625,64,64,
11912.49609375,65,65,
11879.5732421875,66,66,
11880.4580078125,67,67,
11857.9033203125,68,68,
11842.671875,69,69,
11816.205078125,70,70,
11813.2744140625,71,71,
11769.37109375,72,72,
11773.6298828125,73,73,
11773.5361328125,74,74,
11740.84765625,75,75,
11706.8720703125,76,76,
11684.583984375,77,77,
11662.0703125,78,78,
11681.5908203125,79,79,
11645.1396484375,80,80,
11577.13671875,81,81,
11606.7958984375,82,82,
11577.76953125,83,83,
11565.8408203125,84,84,
11526.322265625,85,85,
11520.6572265625,86,86,
11518.818359375,87,87,
11511.2646484375,88,88,
11486.654296875,89,89,
11443.44921875,90,90,
11452.275390625,91,91,
11402.9072265625,92,92,
11372.416015625,93,93,
11381.41015625,94,94,
11301.666015625,95,95,
11329.322265625,96,96,
11301.271484375,97,97,
11265.2705078125,98,98,
,99,99,11240.470703125
11240.470703125,99,99,
11192.5009765625,100,100,
11171.876953125,101,101,
11160.005859375,102,102,
11142.4951171875,103,103,
11099.259765625,104,104,
11068.783203125,105,105,
10998.0166015625,106,106,
10978.6455078125,107,107,
10934.8310546875,108,108,
10889.8447265625,109,109,
10849.3115234375,110,110,
10795.0712890625,111,111,
10758.3427734375,112,112,
10708.693359375,113,113,
10632.376953125,114,114,
10507.173828125,115,115,
10449.5634765625,116,116,
10335.841796875,117,117,
10277.0517578125,118,118,
10195.8017578125,119,119,
10041.130859375,120,120,
9922.2783203125,121,121,
9732.8798828125,122,122,
9615.478515625,123,123,
9467.40234375,124,124,
9228.2001953125,125,125,
9105.298828125,126,126,
8962.03515625,127,127,
