training loss_epoch,epoch,step,training loss_step
33684.1953125,0,0,
27169.47265625,1,1,
24018.8671875,2,2,
21924.0546875,3,3,
19601.814453125,4,4,
16948.7265625,5,5,
15142.345703125,6,6,
14068.904296875,7,7,
13713.34765625,8,8,
13028.458984375,9,9,
12522.9130859375,10,10,
12369.9111328125,11,11,
12148.7021484375,12,12,
12020.0205078125,13,13,
11984.5859375,14,14,
12004.86328125,15,15,
12026.98828125,16,16,
11973.603515625,17,17,
11861.1064453125,18,18,
11789.666015625,19,19,
11779.7841796875,20,20,
11781.494140625,21,21,
11745.7587890625,22,22,
11693.2197265625,23,23,
11617.11328125,24,24,
11539.3466796875,25,25,
11462.4501953125,26,26,
11408.673828125,27,27,
11367.806640625,28,28,
11307.9921875,29,29,
11266.2509765625,30,30,
11200.431640625,31,31,
11176.044921875,32,32,
11084.6591796875,33,33,
11048.5341796875,34,34,
11027.8515625,35,35,
11000.326171875,36,36,
10944.2568359375,37,37,
10952.4052734375,38,38,
10928.0439453125,39,39,
10889.3388671875,40,40,
10882.4599609375,41,41,
10872.439453125,42,42,
10826.6904296875,43,43,
10827.859375,44,44,
10866.19140625,45,45,
10756.1337890625,46,46,
10793.2724609375,47,47,
10779.6201171875,48,48,
,49,49,10738.8876953125
10738.8876953125,49,49,
10752.5126953125,50,50,
10678.3818359375,51,51,
10695.1728515625,52,52,
10672.6044921875,53,53,
10618.86328125,54,54,
10634.6025390625,55,55,
10595.5546875,56,56,
10589.0263671875,57,57,
10574.955078125,58,58,
10551.2841796875,59,59,
10566.5615234375,60,60,
10547.61328125,61,61,
10485.529296875,62,62,
10459.4150390625,63,63,
10478.97265625,64,64,
10466.1337890625,65,65,
10446.111328125,66,66,
10407.7734375,67,67,
10392.3134765625,68,68,
10378.8701171875,69,69,
10399.8955078125,70,70,
10357.93359375,71,71,
10327.3896484375,72,72,
10313.8701171875,73,73,
10351.0009765625,74,74,
10305.478515625,75,75,
10288.0107421875,76,76,
10212.015625,77,77,
10274.201171875,78,78,
10237.203125,79,79,
10226.7783203125,80,80,
10204.30859375,81,81,
10186.822265625,82,82,
10185.3876953125,83,83,
10131.5849609375,84,84,
10129.6103515625,85,85,
10125.2001953125,86,86,
10095.2216796875,87,87,
10076.521484375,88,88,
10085.703125,89,89,
10057.685546875,90,90,
10051.9580078125,91,91,
9998.595703125,92,92,
9959.2578125,93,93,
9933.8896484375,94,94,
9916.2841796875,95,95,
9928.6337890625,96,96,
9875.9345703125,97,97,
9888.2822265625,98,98,
,99,99,9874.4365234375
9874.4365234375,99,99,
9880.6845703125,100,100,
9846.6259765625,101,101,
9810.240234375,102,102,
9813.986328125,103,103,
9785.3837890625,104,104,
9764.443359375,105,105,
9725.6767578125,106,106,
9679.9033203125,107,107,
9650.2978515625,108,108,
9645.5234375,109,109,
9624.904296875,110,110,
9643.111328125,111,111,
9610.1201171875,112,112,
9598.919921875,113,113,
9516.623046875,114,114,
9528.3515625,115,115,
9477.6806640625,116,116,
9446.05078125,117,117,
9402.31640625,118,118,
9410.486328125,119,119,
9401.81640625,120,120,
9307.5634765625,121,121,
9270.5986328125,122,122,
9239.986328125,123,123,
9195.7578125,124,124,
9211.279296875,125,125,
9114.2080078125,126,126,
9064.9677734375,127,127,
9037.5791015625,128,128,
8977.736328125,129,129,
8931.1572265625,130,130,
8862.2900390625,131,131,
8798.466796875,132,132,
8809.416015625,133,133,
8643.486328125,134,134,
8616.412109375,135,135,
8545.8017578125,136,136,
8437.9658203125,137,137,
8392.5322265625,138,138,
8308.5771484375,139,139,
8315.1240234375,140,140,
8128.2236328125,141,141,
8088.56884765625,142,142,
8047.45654296875,143,143,
7990.5283203125,144,144,
7939.97998046875,145,145,
7861.96923828125,146,146,
7760.62158203125,147,147,
7696.07177734375,148,148,
,149,149,7601.6748046875
7601.6748046875,149,149,
7608.5234375,150,150,
7531.1728515625,151,151,
7430.96923828125,152,152,
7421.72705078125,153,153,
7362.51416015625,154,154,
7404.77490234375,155,155,
7251.91357421875,156,156,
7167.4541015625,157,157,
7188.17919921875,158,158,
7125.32568359375,159,159,
7109.01611328125,160,160,
6957.02783203125,161,161,
7010.85791015625,162,162,
6922.11181640625,163,163,
6880.72119140625,164,164,
6896.0517578125,165,165,
6808.4970703125,166,166,
6806.46240234375,167,167,
6799.86474609375,168,168,
6762.72119140625,169,169,
6718.8720703125,170,170,
6694.00537109375,171,171,
6672.673828125,172,172,
6665.9658203125,173,173,
6603.31494140625,174,174,
6589.79345703125,175,175,
6585.14697265625,176,176,
6519.94287109375,177,177,
6492.84716796875,178,178,
6530.279296875,179,179,
6506.1806640625,180,180,
6454.45361328125,181,181,
6493.41064453125,182,182,
6419.23388671875,183,183,
6409.0107421875,184,184,
6413.6162109375,185,185,
6443.1953125,186,186,
6401.15478515625,187,187,
6371.21337890625,188,188,
6309.1298828125,189,189,
6324.29296875,190,190,
6284.62939453125,191,191,
6307.82421875,192,192,
6252.09765625,193,193,
6244.89404296875,194,194,
6260.3310546875,195,195,
6282.34814453125,196,196,
6229.8427734375,197,197,
6195.98046875,198,198,
,199,199,6172.6806640625
6172.6806640625,199,199,
6154.5693359375,200,200,
6173.67724609375,201,201,
6117.90576171875,202,202,
6169.28515625,203,203,
6112.0068359375,204,204,
6109.1748046875,205,205,
6079.78955078125,206,206,
6106.59521484375,207,207,
6086.384765625,208,208,
6022.19091796875,209,209,
6010.65478515625,210,210,
5997.4306640625,211,211,
6069.4453125,212,212,
6000.46923828125,213,213,
6006.50146484375,214,214,
5995.40869140625,215,215,
6001.6396484375,216,216,
5906.8828125,217,217,
5939.2109375,218,218,
5933.716796875,219,219,
5941.33251953125,220,220,
5928.65869140625,221,221,
5847.955078125,222,222,
5840.798828125,223,223,
5840.23486328125,224,224,
5885.294921875,225,225,
5838.59765625,226,226,
5815.58447265625,227,227,
5831.1845703125,228,228,
5832.6865234375,229,229,
5755.07861328125,230,230,
5774.17724609375,231,231,
5722.55078125,232,232,
5680.54443359375,233,233,
5697.193359375,234,234,
5651.423828125,235,235,
5686.6298828125,236,236,
5760.9951171875,237,237,
5662.33642578125,238,238,
5608.5478515625,239,239,
5660.2607421875,240,240,
5632.1416015625,241,241,
5586.986328125,242,242,
5498.46728515625,243,243,
5569.6162109375,244,244,
5562.31103515625,245,245,
5503.869140625,246,246,
5434.642578125,247,247,
5403.271484375,248,248,
,249,249,5467.7333984375
5467.7333984375,249,249,
5387.07861328125,250,250,
5373.642578125,251,251,
5475.97314453125,252,252,
5333.2109375,253,253,
5364.65283203125,254,254,
5371.994140625,255,255,
5300.32421875,256,256,
5324.74853515625,257,257,
5326.7705078125,258,258,
5333.9716796875,259,259,
5304.81689453125,260,260,
5358.87890625,261,261,
5279.4873046875,262,262,
5262.662109375,263,263,
5281.9716796875,264,264,
5287.14306640625,265,265,
5269.01025390625,266,266,
5254.845703125,267,267,
5220.2275390625,268,268,
5232.451171875,269,269,
5107.591796875,270,270,
5215.2314453125,271,271,
5185.22705078125,272,272,
5106.5751953125,273,273,
5215.6044921875,274,274,
5138.537109375,275,275,
5071.873046875,276,276,
5167.4296875,277,277,
5173.76953125,278,278,
5120.94580078125,279,279,
5114.4130859375,280,280,
5048.4189453125,281,281,
5091.6796875,282,282,
5123.37890625,283,283,
5104.12353515625,284,284,
5069.13916015625,285,285,
5116.1591796875,286,286,
5127.70166015625,287,287,
5107.96875,288,288,
5040.884765625,289,289,
5126.45556640625,290,290,
5041.07958984375,291,291,
5044.74267578125,292,292,
5081.99609375,293,293,
5016.783203125,294,294,
4996.7646484375,295,295,
5041.81591796875,296,296,
4985.19482421875,297,297,
5013.17138671875,298,298,
,299,299,5008.7529296875
5008.7529296875,299,299,
5048.5029296875,300,300,
5038.849609375,301,301,
5030.0224609375,302,302,
5028.001953125,303,303,
4990.236328125,304,304,
5025.3544921875,305,305,
5011.4521484375,306,306,
4962.50537109375,307,307,
5059.654296875,308,308,
4991.66552734375,309,309,
4986.732421875,310,310,
4996.67333984375,311,311,
4965.7705078125,312,312,
4979.9033203125,313,313,
5008.55419921875,314,314,
5022.46826171875,315,315,
4996.43212890625,316,316,
4950.021484375,317,317,
4995.71337890625,318,318,
4936.896484375,319,319,
4975.50634765625,320,320,
4931.4150390625,321,321,
5057.8154296875,322,322,
4961.35595703125,323,323,
4928.1904296875,324,324,
4950.48583984375,325,325,
4981.7392578125,326,326,
4883.39501953125,327,327,
4903.75390625,328,328,
4960.833984375,329,329,
4925.49169921875,330,330,
4977.4990234375,331,331,
